#Frame      Dih_00146,#Frame      Dih_00147,#Frame      Dih_00148,#Frame      Dih_00149,#Frame      Dih_00150
       1     -15.1927,       1     -15.2616,       1      36.7046,       1     -46.1710,       1      39.0708
       2       6.9395,       2     -30.6585,       2      38.1551,       2     -35.2447,       2      19.1335
       3       6.4184,       3     -33.3956,       3      45.0084,       3     -40.8766,       3      22.2256
       4       1.0759,       4     -30.0808,       4      44.1668,       4     -47.3796,       4      30.8256
       5      -2.7129,       5     -25.0109,       5      41.1532,       5     -44.7808,       5      28.9718
       6       8.6299,       6     -32.8270,       6      43.2398,       6     -37.7570,       6      17.5968
       7      -0.9182,       7     -27.0561,       7      41.3074,       7     -42.7846,       7      25.8777
       8       8.7044,       8     -29.5368,       8      39.3116,       8     -37.3693,       8      18.1869
       9      -3.2501,       9     -26.1286,       9      43.2380,       9     -46.9925,       9      31.7653
      10       2.4402,      10     -35.3634,      10      53.1393,      10     -55.4387,      10      33.3137
      11      -0.1611,      11     -30.4623,      11      45.4229,      11     -44.1407,      11      28.5872
      12       4.0406,      12     -31.0102,      12      42.4216,      12     -44.3748,      12      25.9344
      13       5.7164,      13     -31.0984,      13      45.0451,      13     -40.3703,      13      22.0822
      14       0.7249,      14     -32.0211,      14      48.2933,      14     -48.3861,      14      29.2738
      15       7.6915,      15     -32.4004,      15      41.4773,      15     -40.9826,      15      21.7267
      16      -2.2644,      16     -22.5214,      16      36.6832,      16     -39.6310,      16      26.9576
      17      12.5924,      17     -36.6036,      17      47.1712,      17     -39.0673,      17      16.8773
      18      10.4048,      18     -35.0045,      18      44.2891,      18     -38.4246,      18      18.8521
      19       4.0686,      19     -29.2983,      19      40.5922,      19     -40.7896,      19      23.2992
      20      18.5653,      20     -41.4950,      20      47.7058,      20     -40.2202,      20      13.4281
      21      10.8210,      21     -33.6104,      21      41.3832,      21     -34.8408,      21      16.0268
      22       5.3964,      22     -29.0703,      22      39.4675,      22     -37.3484,      22      19.8857
      23       6.5618,      23     -30.9404,      23      41.1562,      23     -38.8251,      23      19.9600
      24       3.9263,      24     -24.7966,      24      35.1601,      24     -33.9077,      24      20.0073
      25      -2.2292,      25     -28.0845,      25      44.6010,      25     -47.0705,      25      32.7926
      26      16.0868,      26     -35.7814,      26      41.5065,      26     -34.3185,      26      10.7220
      27       2.8257,      27     -22.4845,      27      33.0549,      27     -31.8645,      27      19.1318
      28       5.4005,      28     -27.7462,      28      36.7184,      28     -36.6505,      28      18.7947
      29      17.7203,      29     -37.3890,      29      43.0882,      29     -35.7493,      29      11.2634
      30      -7.6636,      30     -15.5581,      30      29.9579,      30     -35.5414,      30      27.2249
      31      21.7813,      31     -43.1325,      31      43.8622,      31     -36.4236,      31      10.5076
      32       4.0866,      32     -24.9645,      32      37.6643,      32     -36.5022,      32      20.0574
      33       0.8065,      33     -24.3079,      33      34.8713,      33     -34.3776,      33      22.7263
      34       8.0040,      34     -33.6895,      34      43.3285,      34     -39.0737,      34      20.3758
      35       6.6515,      35     -31.7956,      35      45.3942,      35     -42.2381,      35      21.5666
      36       4.7792,      36     -33.3965,      36      48.4420,      36     -45.7285,      36      25.8835
      37      11.3795,      37     -32.9760,      37      42.0873,      37     -35.7375,      37      14.7818
      38       7.6353,      38     -33.6670,      38      44.9017,      38     -42.2389,      38      21.8605
      39      -5.8906,      39     -25.5596,      39      47.2645,      39     -49.3511,      39      35.8382
      40       2.8167,      40     -29.3606,      40      42.3096,      40     -41.8239,      40      24.2631
      41       9.3638,      41     -34.8912,      41      47.4841,      41     -44.5795,      41      20.6320
      42      15.4761,      42     -37.4743,      42      45.8790,      42     -39.0493,      42      14.6452
      43      -0.4908,      43     -24.5364,      43      39.4372,      43     -40.5111,      43      26.5471
      44      13.8106,      44     -37.2250,      44      48.4954,      44     -40.4280,      44      17.6766
      45       3.8680,      45     -27.6659,      45      42.2845,      45     -41.5257,      45      24.7324
      46       9.2137,      46     -32.4561,      46      41.4851,      46     -39.1781,      46      18.3558
      47      11.2788,      47     -31.6378,      47      37.4916,      47     -33.4760,      47      14.1370
      48      -1.5432,      48     -26.3712,      48      41.8340,      48     -42.9912,      48      28.9501
      49       6.9529,      49     -31.8822,      49      41.4341,      49     -39.0939,      49      20.7042
      50      -7.6838,      50     -17.4690,      50      33.5437,      50     -37.4022,      50      29.3973
      51       4.4716,      51     -24.6460,      51      34.5799,      51     -35.0027,      51      19.2866
      52      -2.4162,      52     -20.4747,      52      35.3078,      52     -37.3833,      52      24.3075
      53       9.5249,      53     -28.9465,      53      35.9291,      53     -32.4971,      53      14.7490
      54       0.2548,      54     -25.5571,      54      38.6325,      54     -41.4490,      54      25.8958
      55      -7.7412,      55     -18.8186,      55      36.4388,      55     -42.8883,      55      33.4713
      56      16.8345,      56     -37.3618,      56      47.1148,      56     -36.5706,      56      12.6502
      57      10.6226,      57     -31.2282,      57      39.7732,      57     -33.7301,      57      15.3283
      58      -2.0059,      58     -27.3947,      58      45.7966,      58     -46.6444,      58      31.9148
      59       8.7631,      59     -33.1900,      59      44.3118,      59     -41.0516,      59      20.7772
      60      10.7875,      60     -35.4207,      60      44.2508,      60     -42.5389,      60      19.5842
      61       3.7950,      61     -29.7578,      61      40.2428,      61     -42.5072,      61      24.2456
      62       1.5634,      62     -29.3685,      62      42.4327,      62     -43.8142,      62      28.0820
      63       3.2828,      63     -30.7323,      63      44.9371,      63     -42.0860,      63      25.2051
      64       5.0431,      64     -31.3035,      64      43.8562,      64     -42.2659,      64      23.2997
      65       7.6000,      65     -31.8361,      65      43.3576,      65     -41.2750,      65      20.9886
      66      10.2973,      66     -36.3360,      66      45.3004,      66     -39.8988,      66      20.7736
      67      10.2762,      67     -29.8056,      67      36.9318,      67     -33.4956,      67      13.8989
      68      11.5861,      68     -30.8217,      68      34.5125,      68     -30.1005,      68      12.7135
      69      -8.1420,      69     -18.0774,      69      34.2108,      69     -38.5682,      69      30.8594
      70       3.6190,      70     -30.4051,      70      41.8898,      70     -40.3210,      70      24.3998
      71       7.4069,      71     -30.1974,      71      42.2141,      71     -37.1962,      71      19.9511
      72       3.3415,      72     -27.1846,      72      36.9981,      72     -40.5384,      72      23.7141
      73      15.8823,      73     -36.6440,      73      39.6415,      73     -32.1910,      73      10.7936
      74      17.2366,      74     -39.6650,      74      44.0975,      74     -35.6256,      74      13.9441
      75      14.5222,      75     -35.9120,      75      41.2054,      75     -33.9563,      75      12.5683
      76       6.9350,      76     -31.6364,      76      41.5116,      76     -39.7297,      76      21.6695
      77      -0.5841,      77     -28.0767,      77      41.8534,      77     -44.2869,      77      28.5321
      78       8.7324,      78     -32.2608,      78      40.6646,      78     -37.0870,      78      17.3276
      79       3.0533,      79     -23.1278,      79      32.1412,      79     -32.1227,      79      18.8457
