#Frame      Dih_00006,#Frame      Dih_00007,#Frame      Dih_00008,#Frame      Dih_00009,#Frame      Dih_00010
       1     -21.7302,       1      35.2022,       1     -34.6595,       1      24.8351,       1      -2.1102
       2     -12.0523,       2      23.5870,       2     -25.5500,       2      20.1324,       2      -5.1422
       3     -12.7896,       3      30.0635,       3     -35.6600,       3      28.7901,       3     -10.1114
       4      -6.2013,       4      25.9124,       4     -32.7770,       4      30.5595,       4     -15.4924
       5     -20.5154,       5      34.0889,       5     -34.4768,       5      22.8689,       5      -0.9344
       6      -3.2200,       6      23.0121,       6     -32.4284,       6      32.6766,       6     -18.0648
       7     -14.9026,       7      34.0573,       7     -39.2967,       7      31.3385,       7     -10.1512
       8     -14.9895,       8      24.9180,       8     -25.4387,       8      17.9830,       8      -1.6640
       9     -23.6136,       9      35.3056,       9     -34.3745,       9      21.3380,       9       1.4113
      10      -9.9015,      10      23.3607,      10     -26.4577,      10      21.7685,      10      -7.8703
      11     -18.2924,      11      31.1756,      11     -32.8705,      11      23.8720,      11      -3.3991
      12     -25.6691,      12      37.1166,      12     -32.8017,      12      19.2876,      12       4.5119
      13     -19.6966,      13      30.2765,      13     -26.6518,      13      14.4588,      13       2.9337
      14     -29.4425,      14      40.6651,      14     -33.8087,      14      17.6639,      14       8.8025
      15     -32.2673,      15      33.5793,      15     -21.5111,      15       2.0551,      15      19.0944
      16     -15.3731,      16      21.4597,      16     -19.4866,      16      11.0303,      16       2.1815
      17     -19.7479,      17      29.7661,      17     -27.7267,      17      18.4337,      17       1.3797
      18     -28.5272,      18      34.1770,      18     -27.0797,      18      11.8736,      18      10.1953
      19     -16.9637,      19      25.6340,      19     -25.7178,      19      15.8777,      19       0.3856
      20     -22.6467,      20      30.1582,      20     -28.9298,      20      16.2359,      20       4.2821
      21     -30.7547,      21      33.6164,      21     -24.7865,      21       8.4231,      21      14.0937
      22     -33.8656,      22      41.8984,      22     -35.2558,      22      17.7921,      22       9.8250
      23     -24.6408,      23      28.6180,      23     -20.6583,      23       6.8468,      23      11.6455
      24     -18.4258,      24      29.6114,      24     -28.4919,      24      19.3527,      24      -1.3132
      25     -23.8340,      25      32.5768,      25     -27.8119,      25      15.0081,      25       6.1857
      26     -25.2319,      26      31.7989,      26     -25.3358,      26      12.4521,      26       6.8247
      27     -27.9650,      27      35.5965,      27     -28.1970,      27      13.5633,      27       9.0550
      28     -26.6080,      28      40.5819,      28     -36.8071,      28      22.2551,      28       1.9738
      29     -17.3991,      29      33.3548,      29     -33.3424,      29      25.2715,      29      -4.3689
      30     -16.0685,      30      31.4113,      30     -33.0919,      30      25.6877,      30      -6.5728
      31      -9.0658,      31      21.2882,      31     -24.9713,      31      20.6337,      31      -6.6607
      32     -39.2740,      32      41.0744,      32     -28.9457,      32       5.9004,      32      21.1016
      33     -18.6648,      33      33.0457,      33     -34.6001,      33      24.7962,      33      -3.8822
      34     -13.9389,      34      35.2504,      34     -44.3763,      34      34.5321,      34     -13.3961
      35     -25.8222,      35      40.5321,      35     -38.0443,      35      24.0754,      35       0.7319
      36     -17.2640,      36      26.4189,      36     -25.2067,      36      16.7528,      36      -0.4300
      37     -28.1039,      37      26.4223,      37     -14.6994,      37      -1.6901,      37      18.9794
      38     -19.4272,      38      28.5112,      38     -24.7178,      38      15.5111,      38       1.4253
      39     -20.9567,      39      38.5774,      39     -37.5250,      39      25.3262,      39      -2.9624
      40     -30.3863,      40      38.8080,      40     -31.1109,      40      13.9468,      40      11.3866
      41     -21.7108,      41      39.6224,      41     -39.1247,      41      27.7901,      41      -3.9874
