#Frame      Dih_00131,#Frame      Dih_00132,#Frame      Dih_00133,#Frame      Dih_00134,#Frame      Dih_00135
       1      -0.4354,       1     -28.2977,       1      45.5439,       1     -46.1880,       1      29.7278
       2       9.2656,       2     -33.7831,       2      46.7114,       2     -42.8335,       2      20.8170
       3      -0.8885,       3     -25.1341,       3      39.0399,       3     -41.7265,       3      27.8217
       4       3.2301,       4     -31.1915,       4      45.2963,       4     -43.8545,       4      27.3082
       5       9.9754,       5     -29.7910,       5      38.4991,       5     -35.9418,       5      16.5703
       6      -8.4640,       6     -19.9371,       6      38.0383,       6     -47.4759,       6      35.6963
       7      12.5712,       7     -37.5537,       7      44.1285,       7     -39.7586,       7      17.9596
       8      -2.1552,       8     -21.9009,       8      37.2037,       8     -36.8293,       8      24.7336
       9      14.0019,       9     -35.4736,       9      43.3017,       9     -37.1203,       9      15.9700
      10       3.7191,      10     -29.0378,      10      41.5774,      10     -41.5974,      10      23.3225
      11       8.5306,      11     -24.7361,      11      30.0241,      11     -27.7534,      11      12.5518
      12      -9.0979,      12     -12.5021,      12      27.3684,      12     -34.5921,      12      28.4082
      13       7.2151,      13     -29.4265,      13      38.0301,      13     -36.9715,      13      19.7305
      14       3.0758,      14     -29.1415,      14      39.2728,      14     -41.3756,      14      23.5008
      15       8.9936,      15     -36.6743,      15      47.5142,      15     -46.1342,      15      23.3782
      16      12.9728,      16     -36.0018,      16      39.7208,      16     -35.5660,      16      15.3932
      17      14.3869,      17     -37.4719,      17      44.0847,      17     -36.9024,      17      14.2832
      18       9.2420,      18     -34.5059,      18      41.1472,      18     -38.3015,      18      18.3648
      19      -4.0760,      19     -22.0393,      19      37.5397,      19     -41.3649,      19      28.8371
      20      15.0434,      20     -32.5353,      20      40.2458,      20     -29.8629,      20       9.8189
      21       4.0009,      21     -27.4403,      21      38.5139,      21     -37.6323,      21      22.8659
      22       3.2247,      22     -28.8472,      22      38.6499,      22     -38.8909,      22      23.5709
      23       3.9459,      23     -28.6594,      23      41.0273,      23     -41.0571,      23      22.8608
      24       6.6282,      24     -30.5786,      24      40.1129,      24     -38.4489,      24      20.3022
      25      -1.5991,      25     -28.6061,      25      47.5089,      25     -49.6941,      25      32.1663
      26       1.2630,      26     -24.9815,      26      38.1814,      26     -38.8771,      26      24.4973
      27       8.5737,      27     -29.9539,      27      38.9792,      27     -34.2542,      27      16.7522
      28      -0.7581,      28     -20.6706,      28      32.3251,      28     -34.9951,      28      23.0163
      29       0.2510,      29     -22.7285,      29      35.0446,      29     -37.8947,      29      23.2820
      30       7.7306,      30     -31.0276,      30      39.2470,      30     -36.9616,      30      19.1357
      31       4.5363,      31     -25.0063,      31      34.9015,      31     -34.1569,      31      19.0234
